Коди помилок Код помилки 	Error text 	Текст помилки (UA)
20000100007 	Activation error 	Помилка активації
20000100008 	An unknown error occurred. Try again later. 	Виникла невідома помилка. Спробуйте пізніше
20000100010 	Can not create Vip user 	Неможливо створити обліковий запис
20000100012 	Error ApiKey generating 	Помилка створення API-ключа
20000100013 	get LoyaltyCard fail 	Не вдалося отримати номер картки лояльності
20000100014 	Incorrect data. 	Некоректні дані
20000100015 	Login or password is incorrect 	Неправильний логін або пароль
20000100016 	Service Unavailable 	Сервіс недоступний
20000100017 	Sorry, the specified Email is already in use by another participant of the Loyalty Program 	На жаль, вказаний E-mail вже використовується іншим учасником програми лояльності
20000100018 	The phone number is invalid 	Некоректний номер телефону
20000100019 	This counterparty prohibited from participating in the loyalty program. 	Цьому контрагенту заборонено брати участь в програмі лояльності
20000100020 	Unable to find data on your parameters 	Неправильний код із смс
20000100021 	Unable to save data 	Неможливо зберегти дані
20000100022 	Unable to send SMS 	Неможливо відправити SMS
20000100023 	User already exists 	Користувач вже існує
20000100024 	User not found 	Користувач не знайдений
20000100025 	Vip client with this email already exist 	Vip клієнт з цією електронною поштою вже зареєстрований
20000100026 	Wrong activation code 	Неправильний код активації
20000100027 	Wrong password or user not found 	Некоректний пароль або користувач не знайдений
20000200028 	AccompanyingDocuments length is incorrect 	Занадто довге значення поля Супроводжуючі документи
20000200029 	AccountNumber and Summ must be filled 	Код ЄДРПОУ та сума повинні бути заповнені
20000200030 	AdditionalInformation length is incorrect 	Довжина поля "Додаткова інформація" перевищено
20000200031 	AfterpaymentOnGoodsCost is disabled for InPost 	Послуга Контроль оплати відключена для поштомата InPost
20000200032 	AfterpaymentOnGoodsCost is disabled for Postomat NovaPoshta 	Послуга Контроль оплати відключена для поштомата NovaPoshta
20000200033 	AfterpaymentOnGoodsCost is invalid 	Сума Контролю оплати зазначена некоректно
20000200034 	AfterpaymentOnGoodsCost is too high 	Перевищена сума Контролю оплати
20000200035 	AfterpaymentOnGoodsCost is unavailable 	Послуга Контроль оплати недоступна
20000200036 	AfterpaymentOnGoodsCost is unavailable in selected CityRecipient 	Послуга Контролю оплати недоступна у вибраному місті одержувача
20000200037 	AfterpaymentOnGoodsCost must be filled 	Поле Контроль оплати має бути заповнене
20000200038 	AfterpaymentOnGoodsCost to DoorsDoors is too high 	Сума Контролю оплати для типу доставки "Двері-Двері" перевищує максимально дозволений ліміт
20000200039 	AfterpaymentOnGoodsCost to WarehouseDoors is too high 	Сума Контролю оплати для типу доставки "Склад-Двері" перевищує максимально дозволений ліміт
20000200040 	AfterpaymentOnGoodsCostInfo must be array 	Параметр Контроль оплати повинен бути масивом
20000200041 	AlternativeContactRecipient is too long 	Альтернативне Контактне Лице Отримувача занадто довге
20000200042 	AlternativePayer type not selected 	Альтернативний тип платника не обрано
20000200043 	AlternativePayment method not selected 	Альтернативний спосіб оплати не обрано
20000200044 	AlternativePayment NonCash is unavailable 	Альтернативний спосіб оплати - Безготівковий розрахунок недоступний
20000200046 	AlternativeRecipient does not belong to this User 	Альтернативний отримувач не належить цьому користувачу
20000200047 	AlternativeRecipient does not exists 	Альтернативний отримувач не існує
20000200048 	AlternativeRecipient is incorrect 	Альтернативний отримувач некоректний
20000200049 	AlternativeRecipient is removed 	Альтернативний отримувач видалений
20000200050 	AlternativeRecipient not selected 	Альтернативного отримувача не обрано
20000200051 	AlternativeRecipientAddress does not belong to this AlternativeRecipient 	Адреса Альтернативного отримувача не належить цьому Альтернативному отримувачу
20000200052 	AlternativeRecipientAddress does not exists 	Адреса Альтернативного отримувача не існує
20000200053 	AlternativeRecipientAddress is incorrect 	Адреса Альтернативного отримувача некоректна
20000200054 	AlternativeRecipientAddress is removed 	Адресу Альтернативного отримувача видалено
20000200055 	AlternativeRecipientAddress not selected 	Адреса Альтернативного отримувача не обрана
20000200056 	AlternativeRecipientCity incorrect 	Місто Альтернативного отримувача вказано некоректно
20000200057 	AlternativeRecipientCity not found 	Місто Альтернативного отримувача не знайдено
20000200058 	AlternativeRecipientCity not selected 	Місто Альтернативного отримувача не обрано
20000200059 	AlternativeRecipientContact does not belong to this AlternativeRecipient 	Контактне лице Альтернативного отримувача не належить до цього Альтернативного отримувача
20000200060 	AlternativeRecipientContact does not exists 	Контакттне лице Альтернативного отримувача не існує
20000200061 	AlternativeRecipientContact is incorrect 	Контактне лице Альтернативного отримувача вказано некоректно
20000200062 	AlternativeRecipientContact is removed 	Контактне лице Альтернативного отримувача видалено
20000200063 	AlternativeRecipientContact not selected 	Контактне лице Альтернативного отримувача не обрано
20000200064 	AlternativeRecipientPayer type is incorrect 	Тип платника Альтернативного отримувача вказано некоректно
20000200065 	AlternativeRecipientPaymentMethod is incorrect 	Спосіб оплати для альтернативного отримувача вказано некоректно
20000200066 	AlternativeRecipientPhone invalid format 	Невірний формат вказаного номеру телефону альтернативного отримувача
20000200067 	AlternativeRecipientPhone is empty 	Телефон альтернативного отримувача не вказан
20000200068 	API auth fail 	Помилки аутентифікації API
20000200069 	apiKey is empty 	API-ключ не вказано
20000200070 	Array of BackwardDeliveryData is invalid 	Масив зворотної доставки неправильно сформований
20000200071 	Array of Trays is invalid 	Масив повернення піддонів неправильно сформований
20000200072 	Backward Delivery banned in Crimea 	Послуга «Зворотня доставка» для АР Крим не діє!
20000200073 	Backward Delivery banned in this city 	Послуга "Зворотна доставка" не доступна для цього міста
20000200074 	Backward Delivery Money is too high 	Занадто високе значення суми Зворотної доставки
20000200075 	BackwardDelivery CargoType is incorrect 	Для даного контрагента тип вантажу Зворотна доставка е доступний
20000200076 	BackwardDelivery CargoType must be different 	Зворотня доставка повинна співпадати з іншими типами зворотної доставки
20000200077 	BackwardDelivery Documents Services is not service 	Зворотна доставка не входить до списку допустимих послуг
20000200078 	BackwardDelivery Money is unavailable in selected CityRecipient 	Заборонено створювати ЕН із зворотньою доставкою грошей в обране місто-отримувач
20000200079 	BackwardDelivery Money RedeliveryString is not valid 	Неправильно вказано суму зворотноъ доставки
20000200080 	BackwardDelivery Money RedeliveryString must not be less than 1 	Сума зворотньої доставки не може бути менше 1 грн
20000200081 	BackwardDelivery Money to DoorsDoors is too high 	Сума зворотної доставки грошей для типу доставки Двері-Двері, перевищує максимально допустимий ліміт
20000200082 	BackwardDelivery Money to WarehouseDoors is too high 	Сума зворотної доставки грошей для типу доставки Склад-Двері, перевищує максимально допустимий ліміт
20000200083 	BackwardDelivery must be Money 	Зворотня доставка повинна бути Гроші
20000200084 	BackwardDelivery PayerType cannot be different 	Тип платника зворотної доставки не може відрізнятися
20000200085 	BackwardDelivery PayerType is incorrect 	Неправильно вказано значення Платник зворотної доставки
20000200086 	BackwardDeliveryData must be array 	Зворотня доставка, повинна бути масивом
20000200087 	BackwardDeliveryRub Money to DoorsDoors is too high 	Зворотня доставка грошей при доставці Двері-Двері, занадто велика
20000200088 	BackwardDeliveryRub Money to WarehouseDoors is too high 	Зворотня доставка грошей при доставці Склад-Двері, занадто велика
20000200090 	CargoDescription is invalid 	Опис вантажу вказано невірно
20000200091 	CargoDetails Amount is empty 	Не вказано значення Кількість
20000200092 	CargoDetails Amount is not valid 	Не правильно вказане значення Кількість
20000200093 	CargoDetails Amount is too high 	Значення Кількість перевищує допустимий ліміт
20000200094 	CargoDetails CargoDescription is empty 	Непередано значення Опис вантажу
20000200095 	CargoDetails CargoDescription is incorrect 	Неправильно вказано значення Опис вантажу
20000200096 	CargoDetails count is invalid 	Значення Кількість недійсне
20000200097 	CargoDetails must be array 	Параметр Кількість повинен бути масивом
20000200098 	CargoDetails must be empty 	Параметр Кількість повинен бути порожнім
20000200099 	CargoType not selected 	Тип вантажу не вибрано
20000200101 	Certificate 	Сертифікат
20000200102 	CityRecipient incorrect 	Місто отримувача вказано некоректно
20000200103 	CityRecipient not found 	Місто отримувача не знайдено
20000200104 	CityRecipient not selected 	Місто отримувача не обрано
20000200105 	CitySender is incorrect 	Місто відправника некоректне
20000200106 	CitySender not found 	Місто відправника не знайдено
20000200107 	CitySender not selected 	Місто відправника не вибрано
20000300397 	ContactRecipient does not belong to this Recipient 	Контакт одержувача не належить до цього одержувача
20000300398 	ContactRecipient does not exists 	Контакт одержувача не існує
20000300399 	ContactRecipient is incorrect 	Контакт отримувача вказано некоректно
20000300400 	ContactRecipient is removed 	Контакт отримувача видалено
20000300401 	ContactRecipient not selected 	Контакт отримувача не вибрано
20000300402 	ContactSender does not belong to this Sender 	Контакт відправника не належить до цього відправника
20000300403 	ContactSender does not exists 	Контакт відправника не існує
20000300404 	ContactSender is incorrect 	Контакт відправника вказано некоректно
20000300405 	ContactSender is removed 	Контакт відправника видалено
20000300406 	ContactSender not selected 	Контакт отправителя не обрано
20000200118 	Cost is invalid 	Вартість некоректна
20000200119 	Cost is too high 	Вартість занадто висока
20000200120 	Cost should be string 	Вартість повинна бути рядком
20000300407 	CostFrom cannot be less then CostTo 	Вартість від не може бути менше, ніж вартість до
20000300408 	CostFrom is invalid 	Вартість від недійсна
20000300409 	CostFrom is too high 	Вартість від занадто велика
20000200124 	CostOnSiteFrom cannot be less then CostOnSiteTo 	Значення фільтра "Вартість доставки від" не може бути меншим, ніж значення фільтра "Вартість доставки до"
20000200125 	CostOnSiteFrom is invalid 	Значення фільтра "Вартість доставки від" недійсне
20000200126 	CostOnSiteFrom is too high 	Значення фільтра "Вартість доставки від" занадто велике
20000200127 	CostOnSiteTo is invalid 	Значення фільтра "Вартість доставки до" недійсне
20000200128 	CostOnSiteTo is too high 	Значення фільтра "Вартість доставки до" занадто велике
20000300410 	CostTo is invalid 	Вартість до недійсний
20000300411 	CostTo is too high 	Вартість до занадто велика
20000200131 	Counterparty creation problem 	Проблема створення Контрагента
20000200132 	Counterparty for AlternativePayment NonCash is invalid 	Контрагент для альтернативної оплати за безготівковим розрахунком недійсний
20000200133 	Counterparty for ForwardingCount is invalid 	Для вибраного Контрагента послуга контролю поштучної передачі недоступна
20000200134 	Counterparty for IsTakeAttorney is invalid 	Для вибраного Контрагента послуга забору довіреності недоступна
20000200135 	Counterparty for Payment NonCash is invalid 	Контрагент для оплати за безготівковим розрахунком недійсний
20000200136 	Counterparty for SameDayDelivery is invalid 	Контрагент для доставки день у день недійсний
20000200137 	Counterparty for ThirdPerson is invalid 	Контрагент для третьої особи недійсний
20000200138 	Counterparty not found by City 	Контрагента не знайдено у вибраному місті
20000200139 	CountrySender is invalid 	Країна відправника недійсна
20000200140 	CountrySender is required 	Країна відправника обов'язкова
20000300412 	CreateTime filtering is invalid format 	Фільтр Дата створення невірний формат
20000400455 	DateTime cannot be less then now 	Дата не може бути менше, ніж сьогодні
20000200143 	DateTime cannot be less then PreferredDeliveryDate 	Дата створення доставки не може бути меншою за бажану дату доставки
20000300413 	DateTime filtering is invalid format 	Фільтр Дата доставки невірний формат
20000200145 	DateTime is empty 	Дата створення доставки відсутня
20000400456 	DateTime is invalid format 	Дата доставки невірний формат
20000200147 	Delivery must be to the door 	Доставка повинна бути на адресу
20000200148 	DeliveryByHand is invalid 	Послуга "Доставка особисто в руки" недійсна. Редагування для адресної доставки - заборонено.
20000300414 	DeliveryDateTime filtering is invalid format 	Фільтр DeliveryDateTime невірний формат
20000200150 	Description empty 	Опис відсутній
20000200151 	Description is not valid 	Опис недійсний
20000200152 	Description too long 	Опис занадто довгий
20000200153 	Document in registry 	Документ в реєстрі
20000200154 	Document is already printed 	Документ уже роздруковано
20000300415 	Document not found 	Документ не знайдено
20000300416 	Document not found by owner 	Документ не знайдено власником
20000200157 	Document number empty 	Номер документа не заповнено
20000200158 	Document number incorrect 	Номер документа некоректний
20000200159 	Documents must be array 	Документи повинні бути масивом
20000200161 	Documents not found 	Документи не знайдені
20000200162 	Documents redelivery is not valid 	Неправильний формат значення Опис Зворотної доставки
20000200163 	Documents redelivery too long 	Значення поля Зворотна доставка документів занадто довге
20000200164 	EDRPOU is invalid 	ЄДРПОУ некоректний
20000200165 	EDRPOU must not be empty 	ЄДРПОУ не повинен бути порожнім
20000200166 	Failed to convert Settlement to city 	Не вдалося перетворити район у місто
20000200167 	Failed to create recipient building 	Не вдалося створити номер будинку одержувача
20000200168 	Failed to create sender building 	Не вдалося створити номер будинку відправника
20000200169 	Failed to validate RecipientBuildingNumber 	Не вдалося підтвердити номер будинку одержувача
20000200170 	Failed to validate RecipientSettlementStreetRef 	Не вдалося підтвердити реф-ідентифікатор вулиці одержувача
20000200171 	Failed to validate SenderBuildingNumber 	Не вдалося підтвердити номер будинку відправника
20000200172 	Failed to validate SenderSettlementStreetRef 	Не вдалося підтвердити реф-ідентифікатор вулиці відправника
20000200173 	FillingWarranty is incorrect 	Заповнення гарантійного талона некоректне
20000200174 	FillingWarranty is unavailable 	Заповнення гарантійного талона недоступно
20000200175 	For BackwardDelivery Trays PayerType must be Sender 	Для зворотної доставки значення "Тип платника" повинно бути Відправник
20000200176 	ForwardingCount is unavailable 	Послуга експедирування недоступна для обраного контрагента
20000400460 	Height is empty 	Значення Висота порожня
20000200179 	Height is too high 	Значення "Висота" задовге
20000200180 	Height is too high for InPost 	Значення "Висота" задовге для поштомата InPost
20000200181 	Height is too high for PostomatNP 	Значення "Висота" задовге для поштомата PostomatNP
20000200182 	Impossible to deliver cargo on holiday 	Неможливо доставити вантаж у святковий день
20000200183 	Impossible to deliver cargo on this day 	Неможливо доставити вантаж в цей день
20000200184 	Incorrect CargoType 	Тип вантажу некоректний
20000200185 	Incorrect Summ value 	Неправильне значення суми
20000200186 	Incorrect TimeInterval 	Часові інтервали некоректні
20000200187 	Incorrect TimeIntervalHour 	Некоректно вказані часові інтервали
20000200188 	InfoRegClientBarcodes has invalid characters 	Внутрішній номер замовлення клієнта містить недопустимі символи
20000200189 	InfoRegClientBarcodes is too long 	Внутрішній номер замовлення клієнта задовгий
20000200190 	IntDocNumber is undefined 	Номер інтернет-документа не визначено
20000200191 	InternationalCitySender is invalid 	Місто міжнародного відправника недійсне
20000200192 	InternationalCitySender is required 	Місто міжнародного відправника обов'язкове
20000200193 	InternationalContactSender is invalid 	Контакт міжнародного відправника недійсний
20000200194 	InternationalContactSender is required 	Контакт міжнародного відправника обов'язковий
20000200195 	InternationalEmail is invalid 	Міжнародний Email недійсний
20000200196 	InternationalSender is invalid 	Міжнародний відправник недійсний
20000200197 	InternationalSenderAddress is invalid 	Адреса міжнародного відправника недійсна
20000200198 	InternationalSenderAddress is required 	Адреса міжнародного відправника обов'язкова
20000200199 	InternationalSendersPhone is invalid 	Телефон міжнародного відправника недійсний
20000200200 	InternationalSendersPhone is required 	Телефон міжнародного відправника обов'язковий
20000200201 	InternationalWaybill is invalid 	Міжнародна експрес-накладна недійсна
20000200202 	InternationalWaybill is required 	Міжнародна експрес-накладна обов'язкова
20000200203 	InternationalWaybillPrice is invalid 	Оголошена вартість недійсна
20000200204 	InternationalWaybillPrice is required 	Оголошена вартість обов'язкова
20000200205 	InternetDocument not found 	Інтернет-документ не знайдено
20000200206 	InternetDocument not found by owner 	Інтернет-документ не знайдено власником
20000200207 	IsTakeAttorney is unavailable 	Доверенность недействительна
20000200208 	Items is empty 	Предмети порожні
20000400464 	Length is empty 	Довжина порожня
20000200210 	Length is too high 	Значення "Довжина" занадто довге
20000200211 	Length is too high for InPost 	Значення "Довжина" занадто довге для поштомата InPost
20000200212 	Length is too high for PostomatNP 	Значення "Довжина" занадто довге для поштомата NovaPoshta
20000100541 	MarketplacePartnerToken is incorrect 	Параметр токен торгового майданчику вказано некоректно
20000200214 	More than 1 RecipientCityName found in old AddressSystem 	Більше одного міста одержувача знайдено в старому Адресному довіднику
20000200215 	Must be one OptionsSeat 	Параметр місця повинен бути один
20000200216 	No date provided 	Дата не зазначена
20000200217 	No rights to the method 	Немає прав в методі
20000200218 	NoteAddressRecipient lenght cannot be more then 50 chars 	Довжина опису адреси отримувача не может бути більше ніж 50 символів
20000200219 	NoteAddressSender lenght cannot be more then 50 chars 	Довжина опису адреси відправника не может бути більше ніж 50 символів
20000200220 	Number is empty 	Номер порожній
20000200221 	NumberOfFloorsDescent is invalid 	Кількість поверхів є недійсним
20000200222 	NumberOfFloorsDescent must be empty when delivered from warehouse 	Замовлення послуги "Спуск з поверху" при відправці з відділення недоступний
20000200223 	NumberOfFloorsLifting is invalid 	Неправильно вказано значення Під'йом на поверх
20000200224 	NumberOfFloorsLifting must be empty when delivered at warehouse 	Підйом на поверх неможливий коли доставка до складу
20000200225 	OptionsSeat in must be CargoType Cargo or Pallet 	Параметри місць повинні мати тип вантажу "Вантаж" або "Палета"
20000200226 	OptionsSeat is empty 	Параметр місць порожній
20000200227 	OptionsSeat must be array 	Параметр місць повинен бути масивом
20000200228 	Order not found 	Замовлення не знайдено
20000300421 	OrderDirection is invalid 	Неправильно вказано метод сортування
20000300423 	OrderField is invalid 	Неправильно вказано поле сортування
20000200231 	Organization does not exists or incorrect EDRPOU 	Організація не існує або неправильно вказано код ЄДРПОУ
20000200232 	Other redelivery is not valid 	Інша зворотна доставка недійсна
20000200233 	Other redelivery too long 	Інша зворотна доставка занадто довга
20000200234 	OwnershipForm is incorrect 	Зазначено некоректну форму власності
20000200235 	OwnershipForm is not specified 	Параметр форма власності не вказано
20000200236 	OwnershipForm must be empty 	Параметр форма власності повинен бути порожнім
20000200237 	Pack empty 	Параметр упаковки порожній
20000200238 	Pack is too long 	Параметр упаковки занадто довгий
20000200239 	Pack not valid 	Параметр упаковки недійсний
20000200242 	PackingNumber has invalid characters 	Параметр "Номер упаковки" містить неприпустимі символи
20000200243 	PackingNumber too long 	Параметр "Номер упаковки" занадто довгий
20000400474 	Page is not specified 	Номер сторінки не вказано
20000200245 	Payer ThirdPerson is invalid 	Платник третя особа не дійсний
20000400475 	Payer type is incorrect 	Тип платника невірний
20000200247 	Payer type not selected 	Тип платника не обрано
20000200248 	Payment method not selected 	Спосіб оплати не обрано
20000200249 	Payment NonCash is unavailable 	Оплата за безготівковим розрахунком недоступна
20000200250 	PaymentMethod is empty 	Не обрано спосіб оплати
20000200251 	PaymentMethod is incorrect 	Спосіб оплати вказано некоректно
20000200252 	PaymentSystem is empty 	Не вказана платіжна система
20000200254 	PreferredDeliveryDate cannot be less then now 	Бажана дата доставки не може бути менше, ніж сьогодні
20000200255 	PreferredDeliveryDate is invalid format 	Бажана дата доставки містить неправильний формат
20000200256 	Recipient city is empty for saturday delivery validation 	Місто одержувача порожнє для підтвердження доставки в Суботу
20000300426 	Recipient does not belong to this CityRecipient 	Одержувач не належить до цього Міста одержувача
20000300427 	Recipient does not belong to this User 	Одержувач не належить цього користувача
20000300428 	Recipient does not exists 	Одержувач не існує
20000300429 	Recipient is incorrect 	Одержувача вказано некоректно
20000200261 	Recipient is invalid 	Одержувач недійсний
20000300430 	Recipient is removed 	Одержувача видалено
20000300431 	Recipient not selected 	Одержувача не обрано
20000200264 	RecipientAddress does not belong to this Recipient 	Адреса одержувача не належить до цього одержувача
20000200265 	RecipientAddress does not exists 	Адреса одержувача не існує
20000200266 	RecipientAddress is incorrect 	Адреса отримувача вказана некоректно
20000200267 	RecipientAddress is removed 	Адреса одержувача видалена
20000200268 	RecipientAddress not selected 	Адреса отримувача не обрана
20000200269 	RecipientAddressComment is invalid 	Коментар Адреса одержувача недійсний
20000200270 	RecipientAddressFlat is invalid 	Номер квартири в Адресі одержувача недійсний
20000200271 	RecipientAddressHouse is invalid 	Номер будинку в Адресі одержувача недійсний
20000200272 	RecipientAddressHouse not selected 	Номер будинку в Адресі отримувача не обрано
20000200273 	RecipientAddressName not found 	RecipientAddressName не знайдено
20000200274 	RecipientAddressStreet not selected 	Вулиця в Адресі одержувача не вибрана
20000200275 	RecipientArea not selected 	Область одержувача не вибрана
20000200276 	RecipientCity is incorrect 	Місто отримувача вказано некоректно
20000200277 	RecipientCity not selected 	Місто отримувача не обраний
20000200278 	RecipientCityName incorrect 	Найменування Міста одержувача некоректно
20000200279 	RecipientCityName not found 	Ім'я Місто отримувача не знайдено
20000200280 	RecipientCityName not found in old AddressSystem 	Назва Місто отримувача не знайдено в старому Адресному довіднику
20000200281 	RecipientCityName not selected 	Назва Місто отримувача не обрано
20000200282 	RecipientContactName incorrect 	Ім'я контакту одержувача вказано некоректно
20000200283 	RecipientContactName not selected 	Ім'я контакту отримувача не вибрано
20000200284 	RecipientCounterpartyFirstName is invalid 	Ім'я отримувача недійсне
20000200285 	RecipientCounterpartyLastName is invalid 	Прізвище отримувача недійсне
20000200286 	RecipientCounterpartyLastName not selected 	Прізвище отримувача не обрано
20000200287 	RecipientCounterpartyOrganizationName is invalid 	Назва організації отримувача недійсна
20000200288 	RecipientCounterpartyOrganizationName not selected 	Назва організації отримувача не обрана
20000200289 	RecipientCounterpartyOwnershipForm is invalid 	Форма власності отримувача недійсна
20000200290 	RecipientCounterpartyOwnershipForm not selected 	Форму власності отримувача не обрано
20000200291 	RecipientCounterpartyPhone is invalid 	Номер телефону отримувача недійсний
20000200292 	RecipientCounterpartyPhone not selected 	Номер телефону отримувача не вибрано
20000200294 	RecipientFlat incorrect 	Квартиру одержувача вказано некоректно
20000200295 	RecipientHouse incorrect 	Будинок одержувача вказано некоректно
20000200296 	RecipientHouse not selected 	Будинок одержувача не вибрано
20000300433 	RecipientRef is invalid 	Ідентифікатор одержувача недійсний
20000300434 	RecipientsPhone invalid format 	Невірний формат номеру телефон одержувача
20000300435 	RecipientsPhone is empty 	Телефон одержувача порожній
20000200300 	RecipientType is invalid 	Тип одержувача недійсний
20000200301 	RecipientWarehouseId is not numeric 	Параметр відділення отримувача не є числовим значенням
20000200302 	RedeliveryCalculate 	Розрахувати зворотну доставку
20000200303 	RedeliveryCalculate Amount 	Розрахувати суму зворотної доставки
20000300436 	Ref is invalid 	Ідентифікатор вказано некорректно
20000200306 	Ref must be empty 	Ідентифікатор повинен бути порожнім
20000200307 	Refs is undefined 	Ідентифікатори не визначені
20000200308 	RegionRecipient not found 	Район одержувача не знайдено
20000200309 	SameDayDelivery is unavailable 	Доставка день у день недоступна
20000200310 	SameDayDelivery is unavailable for different cities 	Доставка день у день недоступна для різних міст
20000200311 	SameDayDelivery is unavailable for late order 	Доставка день у день недоступна для пізнього замовлення
20000200312 	ScanSheetRef is invalid 	Ідентифікатор відсканованого реєстру недійсний
20000200313 	SeatsAmount empty 	Кількість місць не вказано
20000200314 	SeatsAmount is invalid 	Кількість місць некоректна
20000200315 	SeatsAmountFrom cannot be less then SeatsAmountTo 	Значення фільтра "Кількість місць З" не повинно бути меншим від значення фільтра "Кількість місць ПО"
20000200316 	SeatsAmountFrom is invalid 	Значення фільтра "Кількість місць З" некоректне
20000200317 	SeatsAmountFrom is too high 	Значення фільтра "Кількість місць З" занадто велике
20000200318 	SeatsAmountTo is invalid 	Значення фільтра "Кількість місць ПО" некоректне
20000200319 	SeatsAmountTo is too high 	Значення фільтра "Кількість місць ПО" занадто велике
20000300437 	Sender does not belong to this CitySender 	Відправник не належить до цього Місту відправника
20000300438 	Sender does not belong to this User 	Відправник не належить цьому користувачу
20000300440 	Sender is incorrect 	Відправник вказано некоректно
20000300441 	Sender is removed 	Відправника видалено
20000300442 	Sender not selected 	Відправника не обрано
20000200325 	SenderAddress does not belong to this Sender 	Адреса відправника не належить цьому відправнику
20000200326 	SenderAddress does not exists 	Адреса відправника не існує
20000200327 	SenderAddress is incorrect 	Адреса відправника неправильна
20000200328 	SenderAddress is removed 	Адреса відправника видалена
20000200329 	SenderAddress not selected 	Адреса відправника не вибрана
20000200330 	SenderAddressComment is invalid 	Коментар до адреси відправника недійсний
20000200331 	SenderAddressFlat is invalid 	Квартира адреси відправника некоректна
20000200332 	SenderAddressHouse is invalid 	Будинок адреси відправника недійсний
20000200333 	SenderAddressStreet not selected 	Вулиця адреси відправника не вибрана
20000200334 	SenderCity not selected 	Місто відправника не вибрано
20000200335 	SenderCounterpartyName is invalid 	Ім'я контрагента-відправника недійсне
20000200336 	SenderCounterpartyName not selected 	Ім'я контрагента-відправника не вибрано
20000200337 	SenderPersonFirstName is invalid 	Ім'я відправника недійсне
20000200338 	SenderPersonFirstName not selected 	Ім'я відправника не вибрано
20000200339 	SenderPersonLastName is invalid 	Прізвище відправника недійсне
20000200340 	SenderPersonLastName not selected 	Прізвище відправника не вибрано
20000200341 	SenderPersonPhone is invalid 	Телефон відправника недійсний
20000200342 	SenderPersonPhone not selected 	Телефон відправника не вибрано
20000300443 	SenderRef is invalid 	Ідентифікатор відправника недійсний
20000300444 	SendersPhone invalid format 	Телефон відправника невірний формат
20000300445 	SendersPhone is empty 	Телефон відправника порожній
20000200346 	SenderWarehouseId is not numeric 	Ідентифікатор відділення відправника не є числовим значенням
20000200347 	ServiceType is empty 	Поле "Дип доставки" порожнє
20000200348 	ServiceType is incorrect 	Поле "Тип доставки" некоректне
